Date,Fighter 1,Fighter 2,Result,Split Dec?
09/11/2019,Shamil Gamzatov,Klidson Abreu,1,1
09/11/2019,Magomed Ankalaev,Dalcha Lungiambula,1,0
09/11/2019,Rustam Khabilov,Sergey Khandozhko,1,0
09/11/2019,Roman Kopylov,Karl Roberson,2,0
09/11/2019,Abubakar Nurmagomedov,David Zawada,2,0
09/11/2019,Alexander Yakovlev,Roosevelt Roberts,2,0
09/11/2019,Jessica-Rose Clark,Pannie Kianzad,2,0
09/11/2019,Grigory Popov,Davey Grant,2,1
16/11/2019,Jan Blachowicz,Jacare Souza,1,1
16/11/2019,Mauricio Rua,Paul Craig,3,1
16/11/2019,Charles Oliveira,Jared Gordon,1,0
16/11/2019,Antonio Arroyo,Andre Muniz,2,0
16/11/2019,Markus Perez,Wellington Turman,2,0
16/11/2019,Sergio Moraes,James Krause,2,0
16/11/2019,Ricardo Ramos,Eduardo Garagorri,1,0
16/11/2019,Francisco Trinaldo,King Green,1,0
16/11/2019,Warlley Alves,Randy Brown,2,0
16/11/2019,Douglas Silva de Andrade,Renan Barao,1,0
16/11/2019,Ariane da Silva,Isabela de Padua,1,0
16/11/2019,Vanessa Melo,Tracy Cortez,2,0
07/12/2019,Alistair Overeem,Jairzinho Rozenstruik,2,0
07/12/2019,Marina Rodriguez,Cynthia Calvillo,3,1
07/12/2019,Stefan Struve,Ben Rothwell,2,0
07/12/2019,Aspen Ladd,Yana Santos,1,0
07/12/2019,Cody Stamann,Song Yadong,3,1
07/12/2019,Rob Font,Ricky Simon,1,0
07/12/2019,Thiago Alves,Tim Means,2,0
07/12/2019,Billy Quarantillo,Jacob Kilburn,1,0
07/12/2019,Bryce Mitchell,Matt Sayles,1,0
07/12/2019,Joe Solecki,Matt Wiman,1,0
07/12/2019,Virna Jandiroba,Mallory Martin,1,0
07/12/2019,Makhmud Muradov,Trevor Smith,1,0
14/12/2019,Kamaru Usman,Colby Covington,1,0
14/12/2019,Max Holloway,Alexander Volkanovski,2,0
14/12/2019,Amanda Nunes,Germaine de Randamie,1,0
14/12/2019,Marlon Moraes,Jose Aldo,1,1
14/12/2019,Petr Yan,Urijah Faber,1,0
14/12/2019,Geoff Neal,Mike Perry,1,0
14/12/2019,Ketlen Vieira,Irene Aldana,2,0
14/12/2019,Ian Heinisch,Omari Akhmedov,2,0
14/12/2019,Matt Brown,Ben Saunders,1,0
14/12/2019,Chase Hooper,Daniel Teymur,1,0
14/12/2019,Brandon Moreno,Kai Kara-France,1,0
14/12/2019,Jessica Eye,Viviane Araujo,1,0
14/12/2019,Punahele Soriano,Oskar Piechota,1,0
21/12/2019,Frankie Edgar,Chan Sung Jung,2,0
21/12/2019,Volkan Oezdemir,Aleksandar Rakic,1,1
21/12/2019,Dooho Choi,Charles Jourdain,2,0
21/12/2019,Da Woon Jung,Mike Rodriguez,1,0
21/12/2019,JunYong Park,Marc-Andre Barriault,1,0
21/12/2019,Kyung Ho Kang,Pingyuan Liu,1,1
21/12/2019,Ciryl Gane,Tanner Boser,1,0
21/12/2019,SeungWoo Choi,Suman Mokhtarian,1,0
21/12/2019,Dong Hyun Ma,Omar Morales,2,0
21/12/2019,Alexandre Pantoja,Matt Schnell,1,0
21/12/2019,Raoni Barcelos,Said Nurmagomedov,1,0
21/12/2019,Miranda Granger,Amanda Lemos,2,0
21/12/2019,Alatengheili,Ryan Benoit,1,1
18/1/2020,Conor McGregor,Donald Cerrone,1,0
18/1/2020,Holly Holm,Raquel Pennington,1,0
18/1/2020,Aleksei Oleinik,Maurice Greene,1,0
18/1/2020,Brian Kelleher,Ode Osbourne,1,0
18/1/2020,Anthony Pettis,Diego Ferreira,2,0
18/1/2020,Roxanne Modafferi,Maycee Barber,1,0
18/1/2020,Andre Fili,Sodiq Yusuff,2,0
18/1/2020,Tim Elliott,Askar Askarov,2,0
18/1/2020,Drew Dober,Nasrat Haqparast,1,0
18/1/2020,Aleksa Camur,Justin Ledet,1,0
18/1/2020,Sabina Mazo,JJ Aldrich,1,1
25/1/2020,Curtis Blaydes,Junior Dos Santos,1,0
25/1/2020,Rafael Dos Anjos,Michael Chiesa,2,0
25/1/2020,Jordan Espinosa,Alex Perez,2,0
25/1/2020,Hannah Cifers,Angela Hill,2,0
25/1/2020,Jamahal Hill,Darko Stosic,1,0
25/1/2020,Bevon Lewis,Dequan Townsend,1,0
25/1/2020,Arnold Allen,Nik Lentz,1,0
25/1/2020,Justine Kish,Lucie Pudilova,1,0
25/1/2020,Montel Jackson,Felipe Colares,1,0
25/1/2020,Sara McMann,Lina Lansberg,1,0
25/1/2020,Brett Johns,Tony Gravely,1,0
25/1/2020,Herbert Burns,Nate Landwehr,1,0
08/2/2020,Jon Jones,Dominick Reyes,1,0
08/2/2020,Valentina Shevchenko,Katlyn Cerminara,1,0
08/2/2020,Juan Adams,Justin Tafa,2,0
08/2/2020,Mirsad Bektic,Dan Ige,2,1
08/2/2020,Derrick Lewis,Ilir Latifi,1,0
08/2/2020,Trevin Giles,James Krause,1,1
08/2/2020,Lauren Murphy,Andrea Lee,1,1
08/2/2020,Alex Morono,Khaos Williams,2,0
08/2/2020,Miles Johns,Mario Bautista,2,0
08/2/2020,Domingo Pilarte,Journey Newson,2,1
08/2/2020,Andre Ewell,Jonathan Martinez,1,1
08/2/2020,Austin Lingo,Youssef Zalal,2,0
15/2/2020,Corey Anderson,Jan Blachowicz,2,0
15/2/2020,Diego Sanchez,Michel Pereira,1,0
15/2/2020,Montana De La Rosa,Mara Romero Borella,1,0
15/2/2020,Brok Weaver,Kazula Vargas,1,0
15/2/2020,Rogerio Bontorin,Ray Borg,2,0
15/2/2020,Lando Vannata,Yancy Medeiros,1,0
15/2/2020,Tim Means,Daniel Rodriguez,2,0
15/2/2020,John Dodson,Nathaniel Wood,1,0
15/2/2020,Jim Miller,Scott Holtzman,2,0
15/2/2020,Devin Clark,Dequan Townsend,1,0
15/2/2020,Casey Kenney,Merab Dvalishvili,2,0
15/2/2020,Macy Chiasson,Shanna Young,1,0
15/2/2020,Mark De La Rosa,Raulian Paiva,2,0
22/2/2020,Paul Felder,Dan Hooker,2,1
22/2/2020,Jimmy Crute,Michal Oleksiejczuk,1,0
22/2/2020,Karolina Kowalkiewicz,Yan Xiaonan,2,0
22/2/2020,Ben Sosoli,Marcos Rogerio de Lima,2,0
22/2/2020,Brad Riddell,Magomed Mustafaev,1,1
22/2/2020,Kevin Aguilar,Zubaira Tukhugov,2,0
22/2/2020,Jalin Turner,Josh Culibao,1,0
22/2/2020,Jake Matthews,Emil Meek,1,0
22/2/2020,Callan Potter,Song Kenan,2,0
22/2/2020,Kai Kara-France,Tyson Nam,1,0
22/2/2020,Loma Lookboonmee,Angela Hill,2,0
22/2/2020,Priscila Cachoeira,Shana Dobson,1,0
29/2/2020,Joseph Benavidez,Deiveson Figueiredo,2,0
29/2/2020,Felicia Spencer,Zarah Fairn,1,0
29/2/2020,Ion Cutelaba,Magomed Ankalaev,2,0
29/2/2020,Megan Anderson,Norma Dumont,1,0
29/2/2020,Grant Dawson,Darrick Minner,1,0
29/2/2020,Gabriel Silva,Kyler Phillips,2,0
29/2/2020,Brendan Allen,Tom Breese,1,0
29/2/2020,Marcin Tybura,Serghei Spivac,1,0
29/2/2020,Luis Pena,Steve Garcia,1,0
29/2/2020,Jordan Griffin,TJ Brown,1,0
29/2/2020,Aalon Cruz,Spike Carlyle,2,0
29/2/2020,Sean Brady,Ismail Naurdiev,1,0
07/3/2020,Israel Adesanya,Yoel Romero,1,0
07/3/2020,Zhang Weili,Joanna Jedrzejczyk,1,1
07/3/2020,Beneil Dariush,Drakkar Klose,1,0
07/3/2020,Neil Magny,Li Jingliang,1,0
07/3/2020,Alex Oliveira,Max Griffin,1,1
07/3/2020,Sean O'Malley,Jose Quinonez,1,0
07/3/2020,Mark Madsen,Austin Hubbard,1,0
07/3/2020,Rodolfo Vieira,Saparbeg Safarov,1,0
07/3/2020,Gerald Meerschaert,Deron Winn,1,0
07/3/2020,Giga Chikadze,Jamall Emmers,1,1
07/3/2020,Batgerel Danaa,Guido Cannetti,1,0
14/3/2020,Kevin Lee,Charles Oliveira,2,0
14/3/2020,Demian Maia,Gilbert Burns,2,0
14/3/2020,Renato Moicano,Damir Hadzovic,1,0
14/3/2020,Johnny Walker,Nikita Krylov,2,0
14/3/2020,Francisco Trinaldo,John Makdessi,1,0
14/3/2020,Jussier Formiga,Brandon Moreno,2,0
14/3/2020,Amanda Ribas,Randa Markos,1,0
14/3/2020,Elizeu Zaleski dos Santos,Aleksei Kunchenko,1,0
14/3/2020,Rani Yahya,Enrique Barzola,3,1
14/3/2020,Mayra Bueno Silva,Maryna Moroz,2,0
14/3/2020,Bruno Silva,David Dvorak,2,0
14/3/2020,Veronica Hardy,Bea Malecki,2,0
09/5/2020,Tony Ferguson,Justin Gaethje,2,0
09/5/2020,Henry Cejudo,Dominick Cruz,1,0
09/5/2020,Francis Ngannou,Jairzinho Rozenstruik,1,0
09/5/2020,Jeremy Stephens,Calvin Kattar,2,0
